UserID,FirstVisitDate,FollowUpVisitDate
1,2021-02-11,2021-02-11
1,2021-02-11,2021-03-13
1,2021-02-11,2021-04-12
2,2021-03-12,2021-03-12
2,2021-03-12,2021-04-11
3,2021-01-24,2021-01-24
4,2021-06-30,2021-06-30
5,2021-05-20,
6,2021-03-08,2021-03-08
6,2021-03-08,2021-04-07
6,2021-03-08,2021-05-07
7,2021-04-04,
8,2021-02-03,
9,2021-06-06,
10,2021-03-31,
11,2021-05-02,2021-05-02
11,2021-05-02,2021-06-01
12,2021-01-06,2021-01-06
12,2021-01-06,2021-02-05
12,2021-01-06,2021-03-07
12,2021-01-06,2021-04-06
13,2021-05-24,2021-05-24
13,2021-05-24,2021-06-23
14,2021-06-29,2021-06-29
15,2021-06-12,2021-06-12
16,2021-06-15,2021-06-15
17,2021-03-20,
18,2021-01-01,2021-01-01
19,2021-01-17,2021-01-17
19,2021-01-17,2021-02-16
19,2021-01-17,2021-03-18
19,2021-01-17,2021-04-17
20,2021-05-30,2021-05-30
20,2021-05-30,2021-06-29
21,2021-03-28,2021-03-28
22,2021-05-22,
23,2021-06-29,2021-06-29
24,2021-03-07,2021-03-07
24,2021-03-07,2021-04-06
24,2021-03-07,2021-05-06
25,2021-03-06,2021-03-06
25,2021-03-06,2021-04-05
25,2021-03-06,2021-05-05
26,2021-03-16,
27,2021-05-04,2021-05-04
27,2021-05-04,2021-06-03
28,2021-02-12,2021-02-12
28,2021-02-12,2021-03-14
28,2021-02-12,2021-04-13
29,2021-05-28,
30,2021-06-29,2021-06-29
31,2021-03-11,2021-03-11
32,2021-03-16,2021-03-16
32,2021-03-16,2021-04-15
33,2021-04-15,2021-04-15
34,2021-02-14,2021-02-14
34,2021-02-14,2021-03-16
34,2021-02-14,2021-04-15
34,2021-02-14,2021-05-15
35,2021-05-22,2021-05-22
35,2021-05-22,2021-06-21
36,2021-01-15,
37,2021-04-12,
38,2021-04-18,2021-04-18
38,2021-04-18,2021-05-18
38,2021-04-18,2021-06-17
39,2021-01-25,2021-01-25
39,2021-01-25,2021-02-24
40,2021-06-13,2021-06-13
41,2021-05-14,
42,2021-03-10,2021-03-10
42,2021-03-10,2021-04-09
42,2021-03-10,2021-05-09
43,2021-06-03,2021-06-03
44,2021-03-04,2021-03-04
45,2021-01-09,2021-01-09
45,2021-01-09,2021-02-08
45,2021-01-09,2021-03-10
45,2021-01-09,2021-04-09
46,2021-01-12,
47,2021-05-26,
48,2021-06-21,2021-06-21
49,2021-05-21,2021-05-21
49,2021-05-21,2021-06-20
50,2021-05-23,2021-05-23
50,2021-05-23,2021-06-22
51,2021-02-28,
52,2021-01-03,2021-01-03
52,2021-01-03,2021-02-02
53,2021-01-14,2021-01-14
53,2021-01-14,2021-02-13
53,2021-01-14,2021-03-15
54,2021-02-23,2021-02-23
55,2021-01-28,2021-01-28
55,2021-01-28,2021-02-27
56,2021-02-01,2021-02-01
56,2021-02-01,2021-03-03
56,2021-02-01,2021-04-02
56,2021-02-01,2021-05-02
57,2021-03-06,2021-03-06
57,2021-03-06,2021-04-05
57,2021-03-06,2021-05-05
57,2021-03-06,2021-06-04
58,2021-02-11,
59,2021-03-23,
60,2021-01-05,2021-01-05
60,2021-01-05,2021-02-04
60,2021-01-05,2021-03-06
60,2021-01-05,2021-04-05
61,2021-03-21,
62,2021-01-22,2021-01-22
63,2021-04-19,2021-04-19
63,2021-04-19,2021-05-19
64,2021-03-05,
65,2021-03-25,
66,2021-04-30,
67,2021-04-06,2021-04-06
68,2021-03-25,2021-03-25
68,2021-03-25,2021-04-24
68,2021-03-25,2021-05-24
68,2021-03-25,2021-06-23
69,2021-03-20,2021-03-20
69,2021-03-20,2021-04-19
69,2021-03-20,2021-05-19
70,2021-04-17,2021-04-17
70,2021-04-17,2021-05-17
71,2021-01-04,2021-01-04
72,2021-04-23,2021-04-23
72,2021-04-23,2021-05-23
72,2021-04-23,2021-06-22
73,2021-01-06,2021-01-06
73,2021-01-06,2021-02-05
73,2021-01-06,2021-03-07
74,2021-01-01,2021-01-01
74,2021-01-01,2021-01-31
74,2021-01-01,2021-03-02
75,2021-04-24,
76,2021-03-31,2021-03-31
77,2021-03-28,2021-03-28
77,2021-03-28,2021-04-27
78,2021-05-21,
79,2021-06-13,2021-06-13
80,2021-02-15,2021-02-15
80,2021-02-15,2021-03-17
80,2021-02-15,2021-04-16
80,2021-02-15,2021-05-16
81,2021-05-21,2021-05-21
81,2021-05-21,2021-06-20
82,2021-01-07,2021-01-07
83,2021-01-05,2021-01-05
83,2021-01-05,2021-02-04
84,2021-03-15,2021-03-15
85,2021-02-03,2021-02-03
85,2021-02-03,2021-03-05
86,2021-05-01,
87,2021-01-20,
88,2021-05-14,2021-05-14
88,2021-05-14,2021-06-13
89,2021-01-29,2021-01-29
89,2021-01-29,2021-02-28
89,2021-01-29,2021-03-30
89,2021-01-29,2021-04-29
90,2021-03-25,2021-03-25
90,2021-03-25,2021-04-24
91,2021-04-17,
92,2021-06-10,2021-06-10
93,2021-03-06,2021-03-06
94,2021-03-05,
95,2021-05-10,2021-05-10
95,2021-05-10,2021-06-09
96,2021-05-28,2021-05-28
96,2021-05-28,2021-06-27
97,2021-03-21,2021-03-21
97,2021-03-21,2021-04-20
97,2021-03-21,2021-05-20
98,2021-05-07,2021-05-07
98,2021-05-07,2021-06-06
99,2021-01-19,2021-01-19
100,2021-05-08,2021-05-08
100,2021-05-08,2021-06-07
